Brand,Product Catergory,Product Name,DefaultSku,Description,Class,Type,Payment Type,SKU,RRP,Variation:Size,Variation:Colour,Airtable Record ID,,,,,,,,,,,,,,,,
Volt,City,London,lon-s-large,"Lorem Ipsum is simply dummy text of the printing and typesetting industry.",product,bike,monthly,LOK-L051SBKX,2299,,,recAw6gPUMlLwPoWv,,,,,,,,,,,,,,,,
Joe Blow,Pump,Max HP,JOE-BLOW,"Exceptional floor standing bike pump with ergonomic handle and sturdy base. High-pressure, easy to use, up to 160psi at a great price.",product,accessory,monthly,JOE-BLOW,37.99,,,recAIQ0E4EZ1fpq9C,,,,,,,,,,,,,,,,
Volt,City,Metro LS,mels-c-s-large,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s,",product,bike,monthly,mels-c-s-large,1949,,White,xxxxxxxxxxxxxxxxxxx,,,,,,,,,,,,,,,,
Volt,City,Metro LS,mels-c-s-large,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s,",product,bike,monthly,mels-b-s-large,1949,,Black,xxxxxxxxxxxxxxxxxxx,,,,,,,,,,,,,,,,
Dashel,Helmet,Helmet,DAS-S-BLK,"Dashel helmets are perfect for cycling or scooting, with a cap-like peak, longest permitted to safety standards, that allows you to keep your eye on the road and protects from rain or shine.",product,accessory,upfront,DAS-S-BLK,79,Small,,recd5XvcGdZaxtsIu,,,,,,,,,,,,,,,,
Dashel,Helmet,Helmet,DAS-S-BLK,"Dashel helmets are perfect for cycling or scooting, with a cap-like peak, longest permitted to safety standards, that allows you to keep your eye on the road and protects from rain or shine.",product,accessory,upfront,DAS-M-BLK,79,Medium,,recd5XvcGdZaxtsIu,,,,,,,,,,,,,,,,
Dashel,Helmet,Helmet,DAS-S-BLK,"Dashel helmets are perfect for cycling or scooting, with a cap-like peak, longest permitted to safety standards, that allows you to keep your eye on the road and protects from rain or shine.",product,accessory,upfront,DAS-L-BLK,179,Large,,recd5XvcGdZaxtsIu,,,,,,,,,,,,,,,,
Volt,Lock,Chain Lock Bag,USB-1,"Are you looking for a convenient way to carry your bike chain lock? Look no further than the Bike Lock Bag, the perfect accessory for cyclists who value security and style.",product,accessory,monthly,USB-1,9.99,,,recgLV08HNyfv8m9w,,,,,,,,,,,,,,,,
Topeak,Bags & Panniers,MTX DXP Bag and Rail,topeak-bag-and-rai,"Are you looking for a convenient way to carry your bike chain lock? Look no further than the Bike Lock Bag, the perfect accessory for cyclists who value security and style.",product,accessory,monthly,topeak-bag-and-rai,126.98,,,rec0miq2Ty3k1WX0z,,,,,,,,,,,,,,,,
Volt,Relaxed,Pulse,pul-28-s2-large,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s,",product,bike,monthly,pul-28-s2-large,2199,19.4 inches,Black,rec6XLZHoCHTbybw7,,,,,,,,,,,,,,,,
Volt,Relaxed,Pulse,pul-28-s2-large,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s,",product,bike,monthly,pulg-s2-large,2199,18 inches,Light Grey,rec6XLZHoCHTbybw7,,,,,,,,,,,,,,,,
Volt,Relaxed,Pulse,pul-28-s2-large,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s,",product,bike,monthly,pul-s2-large,2199,18 inches,Black,rec6XLZHoCHTbybw7,,,,,,,,,,,,,,,,
Volt,Relaxed,Burlington,bur-s2-large,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s,",product,bike,monthly,bur-s2-large,2199,,,recc71nwLk6Jj30TL,,,,,,,,,,,,,,,,
