Brand,Product Catergory,Product,DefaultSku,Description,Class,Type,Payment Type,SKU,RRP,Variation:Model,Airtable Record ID
QUAD LOCK,Phone Case,Quad Lock Phone Case,QMC-IP15S,Dockable smart phone case.,product,accessory,upfront,QMC-IP15S,22.99,iPhone 15 - MAG,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QMC-IP15M,22.99,iPhone 15 Pro - MAG,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QMC-IP15L,22.99,iPhone 15 Plus - MAG,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QMC-IP15XL,22.99,iPhone 15 Pro Max - MAG,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QMC-IP14S,22.99,iPhone 14 - MAG,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QMC-IP14M,22.99,iPhone 14 Plus - MAG,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QMC-IP14L,22.99,iPhone 14 Pro - MAG,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QMC-IP14XL,22.99,iPhone 14 Pro Max - MAG,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QMC-IP13S,22.99,iPhone 13 Mini - MAG,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QMC-IP13M,22.99,iPhone 13 - MAG,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QMC-IP13MP,22.99,iPhone 13 Pro - MAG,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QMC-IP13L,22.99,iPhone 13 Pro Max - MAG,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QMC-IP12S,22.99,iPhone Mini - MAG,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QMC-IP12M,22.99,iPhone 12 / 12 Pro - MAG,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QMC-IP12L,22.99,iPhone 12 Pro Max - MAG,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QMC-IPSE,22.99,iPhone SE - MAG,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QLC-IP15S,22.99,iPhone 15,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QLC-IP15M,22.99,iPhone 15 Plus,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QLC-IP15L,22.99,iPhone 15 Pro,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QLC-IP15XL,22.99,iPhone 15 Pro Max,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QLC-IP14S,22.99,iPhone 14,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QLC-IP14M,22.99,iPhone 14 Plus,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QLC-IP14L,22.99,iPhone 14 Pro,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QLC-IP14XL,22.99,iPhone 14 Pro Max,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QLC-IP13S,22.99,iPhone 13 mini,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QLC-IP13M,22.99,iPhone 13,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QLC-IP13MP,22.99,iPhone 13 Pro,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QLC-IP13L,22.99,iPhone 13 Pro Max,recT8BxkYZjHhvX3d
,,,,,product,accessory,upfront,QLC-IP12S,22.99,iPhone 12 mini,recT8BxkYZjHhvX3d
